"","X16.cell","late.blastocyst","late.blastocyst.1","X8.cell","early.blastocyst","X16.cell.1","mid.2.cell","X8.cell.1","mid.blastocyst","late.blastocyst.2","early.2.cell","mid.blastocyst.1","early.blastocyst.1","mid.blastocyst.2","mid.blastocyst.3","mid.blastocyst.4","early.2.cell.1","X16.cell.2","X8.cell.2","early.blastocyst.2","early.blastocyst.3","mid.blastocyst.5","mid.blastocyst.6","late.2.cell","mid.blastocyst.7","late.blastocyst.3","X4.cell","early.blastocyst.4","X16.cell.3","mid.blastocyst.8","late.blastocyst.4","early.blastocyst.5","mid.blastocyst.9","X4.cell.1","X16.cell.4","X8.cell.3","X8.cell.4","mid.blastocyst.10","X16.cell.5","X8.cell.5","X8.cell.6","early.blastocyst.6","mid.blastocyst.11","X16.cell.6","X8.cell.7","early.blastocyst.7","early.2.cell.2","X4.cell.2","early.blastocyst.8","early.2.cell.3","X16.cell.7","early.blastocyst.9","mid.blastocyst.12","X4.cell.3","late.2.cell.1","early.blastocyst.10","X16.cell.8","mid.2.cell.1","mid.blastocyst.13","X4.cell.4","X4.cell.5","mid.blastocyst.14","early.blastocyst.11","X8.cell.8","late.blastocyst.5","mid.blastocyst.15","zygote","early.blastocyst.12","early.blastocyst.13","mid.blastocyst.16","X16.cell.9","mid.blastocyst.17","early.blastocyst.14","mid.blastocyst.18","mid.blastocyst.19","mid.blastocyst.20","X16.cell.10","mid.2.cell.2","X16.cell.11","mid.blastocyst.21","X16.cell.12","late.blastocyst.6","X16.cell.13","X16.cell.14","X8.cell.9","X8.cell.10","X16.cell.15","mid.blastocyst.22","early.blastocyst.15","early.blastocyst.16","late.blastocyst.7","mid.blastocyst.23","mid.2.cell.3","X16.cell.16","late.blastocyst.8","X8.cell.11","late.blastocyst.9","late.blastocyst.10","mid.blastocyst.24","X16.cell.17","early.blastocyst.17","early.2.cell.4","X8.cell.12","early.blastocyst.18","X16.cell.18","late.2.cell.2","mid.2.cell.4","X8.cell.13","early.2.cell.5","mid.2.cell.5","X16.cell.19","X16.cell.20","late.blastocyst.11","X8.cell.14","X16.cell.21","mid.blastocyst.25","early.blastocyst.19","mid.blastocyst.26","X8.cell.15","X16.cell.22","late.2.cell.3","X16.cell.23","mid.2.cell.6","X8.cell.16","early.blastocyst.20","late.blastocyst.12","mid.blastocyst.27","X16.cell.24","late.blastocyst.13","late.blastocyst.14","X8.cell.17","X4.cell.6","X16.cell.25","late.blastocyst.15","X16.cell.26","X4.cell.7","X8.cell.18","X8.cell.19","mid.blastocyst.28","X8.cell.20","early.blastocyst.21","X8.cell.21","X8.cell.22","X16.cell.27","X8.cell.23","X8.cell.24","X16.cell.28","mid.blastocyst.29","X8.cell.25","late.blastocyst.16","late.blastocyst.17","mid.blastocyst.30","late.2.cell.4","X8.cell.26","X16.cell.29","X16.cell.30","early.blastocyst.22","zygote.1","mid.blastocyst.31","mid.blastocyst.32","mid.blastocyst.33","late.2.cell.5","X8.cell.27","mid.blastocyst.34","mid.blastocyst.35","X16.cell.31","X8.cell.28","X16.cell.32","X8.cell.29","X8.cell.30","X8.cell.31","X16.cell.33","late.blastocyst.18","X16.cell.34","X16.cell.35","X16.cell.36","X4.cell.8","early.blastocyst.23","mid.blastocyst.36","X16.cell.37","X16.cell.38","X4.cell.9","X8.cell.32","early.blastocyst.24","mid.blastocyst.37","X8.cell.33","X16.cell.39","X16.cell.40","early.blastocyst.25","X8.cell.34","mid.blastocyst.38","mid.blastocyst.39","mid.2.cell.7","zygote.2","mid.blastocyst.40","mid.blastocyst.41","late.blastocyst.19","X16.cell.41","mid.blastocyst.42","mid.2.cell.8","late.blastocyst.20","late.blastocyst.21","early.blastocyst.26","early.blastocyst.27","early.blastocyst.28","mid.blastocyst.43","X16.cell.42","mid.blastocyst.44","mid.blastocyst.45","mid.blastocyst.46","zygote.3","early.blastocyst.29","mid.blastocyst.47","late.blastocyst.22","late.blastocyst.23","early.2.cell.6","late.2.cell.6","X8.cell.35","X16.cell.43","X8.cell.36","early.blastocyst.30","X8.cell.37","late.2.cell.7","mid.2.cell.9","late.blastocyst.24","mid.blastocyst.48","X4.cell.10","X16.cell.44","mid.blastocyst.49","mid.blastocyst.50","early.blastocyst.31","late.blastocyst.25","mid.blastocyst.51","mid.blastocyst.52","early.blastocyst.32","X16.cell.45","mid.blastocyst.53","X16.cell.46","mid.2.cell.10","late.blastocyst.26","early.blastocyst.33","X4.cell.11","early.blastocyst.34","X8.cell.38","X16.cell.47","X16.cell.48","X8.cell.39","X16.cell.49","late.2.cell.8","X4.cell.12","X16.cell.50","mid.blastocyst.54","X8.cell.40","X4.cell.13","late.blastocyst.27","early.blastocyst.35","mid.blastocyst.55","mid.2.cell.11","mid.blastocyst.56","X16.cell.51","X16.cell.52","early.blastocyst.36","mid.blastocyst.57","early.blastocyst.37","X8.cell.41","early.blastocyst.38","X8.cell.42","X16.cell.53","X8.cell.43","X16.cell.54","X16.cell.55","X8.cell.44","early.blastocyst.39","mid.blastocyst.58","mid.blastocyst.59","late.blastocyst.28","X8.cell.45","early.2.cell.7","X16.cell.56","X16.cell.57","early.blastocyst.40","late.blastocyst.29","early.blastocyst.41","early.blastocyst.42","late.2.cell.9","X8.cell.46"
"Tcstv1",0,0,0,0,0,0,1022,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,1418,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,116,0,0,0,0,2603,0,4,146,2,0,0,0,0,38,0,0,20,0,0,0,0,0,0,0,0,0,0,1206,0,0,0,0,0,5,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,1,0,91,0,0,0,3776,273,0,14,493,0,0,0,0,0,0,0,4,0,0,2528,0,279,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1036,0,0,0,0,9,0,0,0,5455,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,837,16,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,10,1317,0,0,0,0,0,2152,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,0,4,0,0,0,0,0,0,4989,191,0,51,0,3,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,931,1
"Zfp229",0,15,0,1,0,0,1287,0,0,0,1291,0,0,1,1,0,620,187,173,37,0,0,69,1676,0,0,278,0,715,2,90,283,0,57,0,0,0,0,0,1,1,5,1,0,5,0,629,19,337,1067,356,0,9,296,1079,195,3,886,40,373,946,0,1,1,152,94,1701,0,0,0,0,0,296,4,0,0,0,412,178,768,332,0,2,0,0,0,0,44,0,0,268,294,1343,0,0,0,30,354,0,0,0,921,214,0,0,9708,143,0,596,685,61,1,3,1,505,169,0,0,68,0,8109,1,144,242,0,0,0,99,150,1,127,398,0,0,0,304,201,0,0,0,0,338,0,0,0,9,0,0,0,0,0,0,4790,0,5,177,0,1188,0,0,0,2983,0,27,1,93,0,38,0,0,123,0,0,4,517,0,572,0,0,335,313,833,288,731,0,0,0,1,50,2,0,0,214,863,0,1,180,91,0,257,0,24,0,0,127,0,368,3,0,180,1889,0,0,76,1,649,7345,97,0,0,0,1,8016,66,3,139,22,200,0,0,0,0,0,0,0,62,0,0,566,0,0,19,4,93,87,0,0,0,2290,1040,0,353,382,979,1,0,0,411,2,229,0,0,0,369,0,0,0,14,0,0,0,0,264,0,0,0,0,1515,0,0,1,0,240,1,4639,102
"Lsp1",0,0,0,0,0,2,302,0,0,0,2295,0,0,0,0,0,654,0,0,0,0,0,1,61,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1662,0,0,1038,0,0,1,1,2699,0,0,326,0,296,0,0,0,0,0,79,3752,0,0,0,0,0,0,0,0,0,7,434,0,0,0,0,3,0,0,0,1,0,0,0,79,0,13,0,0,0,0,111,0,0,0,1147,0,0,1,68,148,6,2879,346,1,0,0,0,0,0,0,0,0,14,2285,2,136,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,677,0,5,0,0,2352,0,0,0,2469,0,0,0,0,0,0,0,0,0,7986,0,0,0,0,3,0,0,0,2,0,11456,0,0,0,0,0,0,2,0,0,656,1168,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,1,2368,0,0,0,279,1498,315,0,0,0,0,0,1558,814,0,0,0,1,0,0,0,0,0,0,0,0,0,1,175,0,0,0,0,0,0,0,0,0,1493,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,1721,0,0,0,13,0,0,2815,0
"1700017B05Rik",0,97,0,58,0,0,1086,0,979,119,2037,0,53,12,179,0,307,3,303,494,480,9,210,8857,637,232,13,3,1295,1,25,841,0,1138,2430,70,90,1442,0,1,3,0,0,1,0,23,1242,631,24,627,0,0,422,1011,6019,571,4,687,385,249,923,251,1,204,143,257,1060,440,0,19,0,0,12,67,0,5,0,548,286,575,154,0,65,0,241,158,1,151,666,0,183,27,853,19,531,307,7,701,197,0,0,592,1,984,0,3189,693,0,1613,440,196,0,321,1,0,225,26,0,176,0,4766,84,484,149,121,0,3,1,271,191,8,1294,0,520,0,582,0,0,154,40,0,0,507,0,269,26,0,0,78,0,508,1,11310,0,685,23,0,809,0,2,1772,9738,44,0,232,77,682,0,0,0,58,0,0,0,0,0,1593,0,0,0,0,1263,966,580,2770,0,11,0,14,71,1346,243,286,775,275,1,255,49,0,281,0,289,246,18,2,427,3,174,1,22,1142,0,2,339,35,884,12059,5,1,157,4,1,10189,15,36,396,23,0,0,319,4,0,42,132,62,0,206,0,906,0,0,1744,490,7,3,1,163,0,2920,1630,0,201,17,2744,315,39,221,516,2367,0,0,2,0,1287,35,0,0,0,0,804,0,0,0,6,330,1,243,602,1,0,521,0,135,59,14158,1187
"Ralbp1",0,1181,2046,672,1068,706,2519,2,659,1733,11084,702,254,113,767,2502,14599,3,283,676,855,327,154,8202,625,2203,1051,106,505,357,5884,1137,1,429,545,758,84,945,6674,1221,780,144,1320,1074,308,1267,11318,550,1965,7542,500,178,635,365,15238,621,3,2355,1540,795,854,2221,4894,940,293,2913,42710,326,37,301,0,1,559,1254,8,948,1957,1748,161,525,607,3,407,370,236,202,331,891,144,643,1632,388,1638,1419,709,0,806,3184,1124,160,1955,8097,511,3290,287,4331,968,1111,17640,1077,23,823,1845,8,1168,434,1294,1163,67,140,6564,642,871,142,498,798,23,1460,583,2455,423,874,1,3381,1274,820,162,201,97,1,290,647,1111,250,443,50,0,140,280,1582,775,1525,6619,75,497,57,5,34699,2411,972,163,10102,11,1967,2007,266,141,4,339,1212,240,2548,3503,239,1287,215,946,1861,368,139,91,1022,1246,1669,4337,498,419,710,671,84,1004,227,1117,27235,933,999,4330,543,1586,1476,2815,5769,555,764,844,156,1282,220,663,660,34603,867,858,4696,4243,8865,2888,233,471,1373,2662,26,5464,1453,1631,741,710,344,15,2159,1035,2973,2499,871,781,446,23,738,1811,1830,1845,1052,1280,825,188,1860,327,1071,7064,671,303,3456,753,1025,6751,297,1518,1359,1058,116,550,807,187,440,32,1207,856,630,10,557,367,638,708,1537,545,2495,7,10092,788,176,739,487,379,1848,12983,298
"BC027231",0,121,269,311,0,302,1654,0,141,3,103,1,0,518,271,610,11,0,442,0,25,578,58,4498,25,27,419,7,415,303,0,62,167,187,0,834,64,864,2,347,6,0,0,735,243,5,70,2592,1,41,1033,0,128,302,6587,0,3,432,196,408,272,110,0,0,132,111,53,78,1165,0,0,0,0,0,0,0,108,949,197,3,622,1261,0,961,51,148,324,0,0,0,211,0,1708,3,0,94,233,0,0,326,2,3,285,676,1,11195,311,80,70,490,0,0,134,169,564,0,52,253,267,2,7530,70,205,1,17,0,31,533,127,262,6,723,0,91,0,1509,2,180,482,472,0,600,337,0,166,41,250,67,195,0,236,15,5111,560,0,760,0,34,0,1,1,6114,26,24,0,208,0,31,4,553,131,0,0,66,331,1,887,0,211,2,341,1607,233,0,668,35,110,104,0,3,0,1743,407,32,133,1,0,744,147,578,0,276,44,1,0,0,269,26,52,339,34,0,1358,856,132,9,12564,3,403,1148,0,67,6553,77,31,220,668,13,0,578,797,8,68,2,1,295,0,5,242,301,0,991,0,220,406,168,412,44,9299,710,799,240,1591,1363,12,285,2457,458,0,17,108,72,144,0,66,4,1020,589,884,0,0,65,106,23,464,0,0,134,8,23,0,0,0,161,13248,633
"Znhit2-ps",0,56,0,1,0,14,413,0,30,54,0,0,0,0,37,255,0,0,0,2,0,0,1,1919,3,0,83,10,0,1,0,0,0,273,0,0,11,0,0,0,0,0,0,0,25,0,31,343,0,6,0,0,3,239,4961,0,0,423,0,7,270,34,97,143,15,5,31,2,0,118,90,0,220,21,0,0,0,385,0,0,23,0,0,6,8,31,13,0,0,0,71,5,305,0,1,0,0,0,72,56,0,6,16,0,0,3186,102,0,28,305,0,3,0,108,0,100,55,0,100,1,3778,89,148,2,0,0,33,154,38,3,0,117,0,0,0,250,0,72,0,92,0,0,4,0,120,47,0,0,38,0,109,50,4406,3,8,56,0,165,0,0,0,4863,26,0,0,38,0,60,32,1,86,0,132,0,357,0,470,0,289,161,0,337,52,132,0,4,0,71,0,65,218,0,81,164,7,271,0,68,0,404,0,188,129,0,1,47,0,0,211,1,211,1,0,0,74,11,2699,36,0,0,0,154,4284,20,0,88,79,0,0,0,41,0,81,0,32,5,0,0,134,0,517,234,0,135,6,69,27,34,1987,89,111,206,9,683,0,0,0,435,0,0,140,0,0,0,0,0,0,150,0,0,0,0,0,1,3,9,64,0,1,0,0,0,177,0,6952,33
"Rilpl2",0,0,0,0,0,0,635,0,7,0,0,0,21,0,0,0,0,0,1,0,0,11,0,1390,0,24,6,0,0,0,0,0,0,433,243,0,36,0,0,0,0,0,0,0,0,0,0,542,0,15,0,0,0,104,2615,0,3,523,0,87,1121,139,0,0,0,0,23,0,0,0,0,0,1307,0,0,0,0,225,0,198,47,0,0,0,0,26,23,0,0,0,0,0,147,0,0,0,38,0,35,0,0,2,0,438,0,2238,130,0,0,287,0,0,25,0,0,0,0,0,0,0,5981,0,168,0,0,0,0,0,0,9,0,908,0,0,0,213,0,69,0,0,0,0,0,358,247,0,0,0,0,0,9,1,2251,0,0,0,0,0,0,0,0,772,0,0,0,9,196,0,1,11,34,0,0,0,0,0,240,0,0,0,0,115,319,0,1,0,0,0,0,0,0,4,82,0,0,1,0,0,0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5840,3,0,0,0,224,3527,67,7,0,8,0,0,0,0,0,0,0,9,1,0,256,215,0,0,1019,0,0,0,0,45,39,735,865,345,0,0,1350,0,0,0,166,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,33,0,0,3,0,0,0,0,10200,121
"Pak1",0,0,0,201,0,166,2367,1,605,0,10276,0,0,0,0,0,6462,2,454,0,0,0,3,9821,0,299,16,0,194,0,340,346,0,49,2,748,48,416,0,47,397,0,0,814,5,0,8301,2692,0,4036,0,13,7,1428,11802,7,4,1219,0,298,2061,0,0,0,81,190,14859,0,0,1,0,0,0,0,0,0,1,2377,188,0,0,0,367,1,1,25,37,0,0,0,0,0,2113,0,0,53,0,0,0,0,6,5769,481,0,0,8701,732,848,13221,2267,0,319,384,65,655,0,15,0,186,303,8065,38,806,201,0,0,134,133,5,11,35,943,1,0,861,253,188,143,0,422,0,152,425,204,88,17,289,0,172,0,2,0,11911,506,192,194,0,10719,0,0,0,8685,30,0,0,70,584,0,127,1351,155,3004,0,49,0,1274,1209,0,0,135,0,220,1122,1161,0,31,35,46,0,5,0,0,1961,6051,467,0,0,32,0,1422,0,4,6,0,2,0,0,0,0,185,10670,660,0,0,0,4080,8055,250,42,1064,0,449,8658,3332,0,0,862,0,0,0,15,31,175,0,74,161,0,668,1329,0,0,443,100,622,281,139,38,499,9438,286,1,238,0,1388,0,0,0,902,0,764,508,0,0,77,89,0,0,0,0,95,0,349,0,0,92,0,145,8174,16,55,265,0,0,4,6732,4
"Hinfp",3231,0,981,217,0,2,406,0,16,423,308,13,0,0,124,0,12,115,554,0,593,412,1,5721,66,0,1010,0,137,0,0,74,129,409,230,312,143,0,0,2,691,0,0,970,2,0,154,34,0,79,0,6,262,407,10314,0,0,448,0,38,1005,7,0,73,3,9,63,0,0,0,6,0,17,0,0,1096,0,84,1,0,1,0,7,9,155,244,232,420,0,0,57,230,160,187,0,0,28,212,0,54,0,34,188,3,0,16449,78,119,325,412,434,0,0,164,5,12,0,0,222,0,11665,9,162,39,0,171,20,814,0,1,190,858,470,0,69,858,0,143,118,150,0,372,1,0,119,37,18,0,339,0,76,1042,4448,983,903,552,0,189,0,1,67,6525,124,7,884,314,333,543,485,1029,140,0,1,1490,94,0,528,0,0,361,358,715,823,92,0,148,256,26,684,2,680,996,44,200,880,0,0,67,0,131,0,67,0,488,0,10,1690,0,1,17,526,0,0,0,3,47,7652,380,0,271,0,224,6159,29,6,50,1002,427,0,0,407,0,1489,1235,0,52,161,2349,95,0,0,857,60,235,741,511,267,532,4744,1163,0,0,220,2216,0,0,850,322,0,422,136,0,0,0,222,0,1323,0,22,6,0,1605,0,1,0,0,133,148,83,435,0,0,0,0,3286,351
"Gm11985",0,0,0,0,0,0,54,0,0,0,4042,0,0,0,0,0,2235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,0,0,1302,0,0,0,0,456,0,0,240,0,0,0,0,0,0,0,198,4361,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,2097,0,0,0,98,3,0,3413,299,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3123,0,0,0,3,0,0,0,0,0,0,0,0,0,3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2142,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3564,0,0,0,0,1686,0,0,0,0,0,0,577,286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061,0,0,0,0,0,0,0,0
"Tsc22d1",0,107,281,159,3,142,626,162,717,419,8813,1979,146,36,559,4182,4029,18,466,554,365,2641,125,4586,0,3602,26,28,731,6,5,1027,803,319,1033,0,213,309,0,0,1270,2,85,169,299,0,6321,0,36,2749,122,0,829,117,5993,933,19,2478,910,569,1313,1725,0,318,641,2653,25279,1,0,641,0,2,0,158,0,6,1274,710,105,43,78,9,0,1,474,508,190,693,0,0,94,98,1218,697,1669,230,509,185,270,7,0,2401,0,1,0,989,605,1235,10054,2477,130,191,1107,749,1851,105,291,643,131,303,3046,420,476,100,0,20,44,74,2020,1380,222,222,308,90,0,483,184,198,2177,39,364,1321,220,599,0,32,0,908,254,954,1635,8,2630,14,890,188,1,22632,70,3,61,6884,38,146,690,126,1019,1614,4,104,158,1533,380,0,189,0,198,0,1191,18,0,412,2764,2,2757,117,178,117,691,40,2429,1750,1303,15973,105,1044,1648,0,0,696,0,431,1837,234,646,690,1181,1000,22,84,21332,212,241,0,561,3391,1961,252,372,562,0,861,3366,1496,1050,597,564,367,75,1,1167,867,1419,815,700,244,118,942,891,0,3143,74,354,93,1,0,226,437,1090,443,224,1277,0,1147,19,368,1642,1066,2284,204,533,3,18,17,147,0,55,438,444,0,405,2,510,450,221,1581,76,6628,13,3,506,8,500,1167,8204,400
"Gm813",0,0,0,0,0,0,34,0,0,0,596,0,0,0,0,0,749,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,362,0,0,3,0,285,0,0,4,0,122,0,0,0,0,0,203,4005,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,633,0,0,0,0,0,88,788,34,0,0,0,0,0,0,0,0,0,0,195,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761,0,0,0,168,0,0,0,0,0,0,0,0,0,5286,0,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,207,2260,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2608,0,0,0,0,537,35,0,0,148,0,0,20,121,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,124,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,60,2
"Tacr3",0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,3260,0,0,3,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,15,0,0,0,0,725,0,3,310,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,0,0,0,0,293,214,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,2762,184,0,0,912,0,0,0,0,0,0,0,0,64,0,2412,0,31,46,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7375,0,0,6,0,0,0,0,0,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,1,0,0,656,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,1,0,776,0,0,2526,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,7047,98,0,0,0,1,0,0,0,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,990
"Pramef12",0,76,0,370,1,52,886,2,0,0,4801,534,0,0,180,1393,4710,0,341,3,11,0,6,3006,0,1,217,37,0,2492,0,2,0,575,5,429,121,1338,0,1601,668,0,1,0,118,0,5362,387,350,2520,4,72,229,59,5740,1,75,1201,36,558,1434,0,0,130,77,377,14851,0,32,9,0,2,440,0,0,0,2,771,0,0,0,2,0,294,236,122,0,0,0,0,2,0,148,0,2682,0,186,4,0,8,0,3373,306,9,0,5568,464,172,7749,264,0,1148,153,158,372,50,534,0,39,0,3717,235,265,123,82,0,77,0,53,44,4,322,0,0,471,14,68,51,123,64,0,288,349,0,56,1,49,0,99,1,580,0,2775,157,10,239,1,11810,0,0,0,3501,16,2821,1,0,19,196,230,71,92,1329,61,126,0,0,1078,0,278,128,36,42,4,442,0,0,105,1,5,59,0,39,923,7642,329,10,0,1081,0,531,0,90,1699,24,933,0,328,0,0,226,15427,41,0,1,0,3664,3168,491,0,166,0,113,2560,440,706,0,658,4,1,1149,26,34,0,0,0,0,0,4,862,0,0,469,58,753,0,0,41,0,4410,333,471,165,385,134,2,0,786,357,0,321,0,2,0,0,20,2,850,0,9,0,2,1,6,0,1,539,1,3843,0,0,119,0,1,154,6024,173
"Foxm1",0,117,52,350,1,20,3542,0,27,1,6387,1017,0,1599,133,594,2531,11,7,151,39,929,329,12788,0,1,1301,12,664,2152,408,149,0,1164,50,408,37,5,1,0,234,0,3,9,309,0,3644,1543,43,2871,0,10,1074,763,19186,603,7,3085,1,1905,1683,785,1586,9,194,132,6268,2,0,0,0,15,55,1016,0,1472,1868,2336,3,888,16,1,0,399,76,0,20,79,0,0,212,326,2044,0,165,0,1,434,82,0,381,2766,1,848,0,12909,800,843,6188,2057,117,134,0,117,31,482,316,472,64,20,15366,575,1934,164,0,0,4,26,66,8,734,1778,0,4,202,1911,259,0,144,14,3571,0,393,686,67,44,59,0,23,4,767,1109,9037,90,0,199,0,5187,160,1,7,20595,0,33,62,56,1,213,197,310,67,2,457,407,863,0,43,0,0,0,171,2639,666,53,57,631,710,792,23,8,225,305,1999,1939,129,12,1983,68,1181,2158,62,45,64,362,2,0,764,361,5,236,4687,834,1651,1052,192,2761,17034,19,2,66,1,128,10386,2063,0,3,476,322,1,400,3,0,2,5,778,0,0,114,1942,0,0,1775,207,261,419,1197,3,20,4536,1071,0,940,0,2202,249,500,136,2139,0,9,1185,872,88,29,10,90,186,737,1,5,1,56,1289,6,46,1,0,5493,1068,299,1,0,36,1252,11855,259
"Fbxo45",0,119,228,1955,0,3,1129,50,46,571,131,0,0,0,28,1,0,0,785,3,296,34,0,4039,268,13,736,13,163,1,40,0,0,374,162,7,27,578,0,2192,277,128,0,109,257,0,110,544,59,23,0,59,423,685,18797,0,2,799,364,1477,1921,48,0,164,89,266,244,1491,0,0,0,0,0,262,0,0,219,1540,512,0,0,0,772,4,1,71,153,737,0,0,16,146,1146,0,1,1,33,663,2029,0,514,0,627,1332,0,6527,135,915,269,624,5,667,182,31,0,0,148,0,12,0,7316,0,448,59,26,0,110,172,362,205,698,1075,0,0,268,1600,106,254,1,0,0,15,0,231,35,48,1165,2,122,212,275,1,6078,640,0,25,0,210,0,0,0,9854,0,0,4,94,23,365,336,915,191,0,13,33,0,0,1046,0,4,59,139,619,571,250,184,498,0,244,2,299,0,0,258,292,367,0,0,82,0,562,0,252,24,77,0,0,872,0,1,200,123,0,333,1213,0,1,7026,1,0,263,0,1,8148,140,2,425,1073,0,0,1264,1,0,121,0,213,245,1040,0,598,0,0,210,0,0,0,12,6,0,9841,780,324,148,388,841,195,2,0,517,0,507,0,0,444,0,16,0,804,1145,113,0,0,1,26,0,0,1220,157,57,347,828,44,3,0,230,8935,560
"Mki67",1,363,4402,1216,458,806,4422,537,986,3143,5539,981,3520,7892,1080,491,4124,339,1126,174,1636,1803,828,26687,338,653,2863,1793,2372,6678,2774,2163,14,1440,764,2456,337,1963,146,5,1683,282,12,145,461,4903,3860,8142,3803,2181,1724,283,1295,2319,41413,3294,9,6384,3214,1308,4679,1309,3,850,2980,3157,4532,4615,25,1,753,3172,1028,693,0,1139,3070,3287,1586,1251,1255,3941,1001,281,91,282,269,881,17,866,1526,2853,3589,3077,6242,399,2032,1943,2515,1237,1309,2135,522,828,528,29564,1271,730,6840,5312,661,1788,1429,310,562,1991,2607,4804,361,153,38918,1361,2234,1476,1496,167,1721,1310,1871,1491,1606,5599,472,1282,1059,3038,514,858,1582,473,1998,965,0,904,518,35,2317,0,441,1284,1981,4262,23828,2137,1587,108,2,4693,6057,2264,104,38757,3,1698,3208,310,0,715,738,338,332,0,914,96,1006,156,2612,806,1550,388,13,5115,6928,147,5273,568,1215,13,1643,124,5548,3530,2402,3786,2240,1790,8153,1827,10,2915,2536,471,2215,393,126,324,1454,388,1830,748,7276,848,2220,3116,1148,2637,19699,244,775,1527,706,104,40589,3867,1181,2018,807,230,15,960,1394,0,2,111,1670,1034,3970,1724,2863,1417,1077,2229,1523,1124,536,1250,404,2811,30230,4943,0,1173,2441,7100,2767,4367,247,3804,6,379,561,1732,4574,4665,297,1943,1271,200,3089,10,1327,83,3508,426,338,89,122,4283,249,1952,919,240,2148,1298,45930,1798
