"","Hi_2338_1","Hi_2338_2","Hi_2338_3","Hi_2338_4","Hi_2338_5","Hi_2338_6","Hi_2338_7","Hi_2338_8","Hi_2338_9","Hi_2338_10","Hi_2338_11","Hi_2338_12","Hi_2338_13","Hi_2338_14","Hi_2338_15","Hi_2338_16","Hi_2338_17","Hi_2338_18","Hi_2338_19","Hi_2338_20","Hi_2338_21","Hi_2338_22","Hi_2339_1","Hi_2339_2","Hi_2339_3","Hi_2339_4","Hi_2339_5","Hi_2339_6","Hi_2339_7","Hi_2339_8","Hi_2339_9","Hi_2339_10","Hi_2339_11","Hi_2339_12","Hi_2339_13","Hi_2339_14","Hi_2339_15","Hi_2339_16","Hi_2339_17","Hi_K562_1","Hi_K562_2","Hi_K562_3","Hi_K562_4","Hi_K562_5","Hi_K562_6","Hi_K562_7","Hi_K562_8","Hi_K562_9","Hi_K562_10","Hi_K562_11","Hi_BJ_1","Hi_BJ_2","Hi_BJ_3","Hi_BJ_4","Hi_BJ_5","Hi_BJ_6","Hi_BJ_7","Hi_BJ_8","Hi_BJ_9","Hi_BJ_10","Hi_BJ_11","Hi_BJ_12","Hi_BJ_13","Hi_BJ_14","Hi_BJ_15","Hi_BJ_16","Hi_BJ_17","Hi_BJ_18","Hi_BJ_19","Hi_BJ_20","Hi_BJ_21","Hi_BJ_22","Hi_BJ_23","Hi_BJ_24","Hi_BJ_25","Hi_BJ_26","Hi_BJ_27","Hi_BJ_28","Hi_BJ_29","Hi_BJ_30","Hi_BJ_31","Hi_BJ_32","Hi_BJ_33","Hi_BJ_34","Hi_BJ_35","Hi_BJ_36","Hi_BJ_37","Hi_K562_12","Hi_K562_13","Hi_K562_14","Hi_K562_15","Hi_K562_16","Hi_K562_17","Hi_K562_18","Hi_K562_19","Hi_K562_20","Hi_K562_21","Hi_K562_22","Hi_K562_23","Hi_K562_24","Hi_K562_25","Hi_K562_26","Hi_K562_27","Hi_K562_28","Hi_K562_29","Hi_K562_30","Hi_K562_31","Hi_K562_32","Hi_K562_33","Hi_K562_34","Hi_K562_35","Hi_K562_36","Hi_K562_37","Hi_K562_38","Hi_K562_39","Hi_K562_40","Hi_K562_41","Hi_K562_42","Hi_HL60_1","Hi_HL60_2","Hi_HL60_3","Hi_HL60_4","Hi_HL60_5","Hi_HL60_6","Hi_HL60_7","Hi_HL60_8","Hi_HL60_9","Hi_HL60_10","Hi_HL60_11","Hi_HL60_12","Hi_HL60_13","Hi_HL60_14","Hi_HL60_15","Hi_HL60_16","Hi_HL60_17","Hi_HL60_18","Hi_HL60_19","Hi_HL60_20","Hi_HL60_21","Hi_HL60_22","Hi_HL60_23","Hi_HL60_24","Hi_HL60_25","Hi_HL60_26","Hi_HL60_27","Hi_HL60_28","Hi_HL60_29","Hi_HL60_30","Hi_HL60_31","Hi_HL60_32","Hi_HL60_33","Hi_HL60_34","Hi_HL60_35","Hi_HL60_36","Hi_HL60_37","Hi_HL60_38","Hi_HL60_39","Hi_HL60_40","Hi_HL60_41","Hi_HL60_42","Hi_HL60_43","Hi_HL60_44","Hi_HL60_45","Hi_HL60_46","Hi_HL60_47","Hi_HL60_48","Hi_HL60_49","Hi_HL60_50","Hi_HL60_51","Hi_HL60_52","Hi_HL60_53","Hi_HL60_54","Hi_iPS_1","Hi_iPS_2","Hi_iPS_3","Hi_iPS_4","Hi_iPS_5","Hi_iPS_6","Hi_iPS_7","Hi_iPS_8","Hi_iPS_9","Hi_iPS_10","Hi_iPS_11","Hi_iPS_12","Hi_iPS_13","Hi_iPS_14","Hi_iPS_15","Hi_iPS_16","Hi_iPS_17","Hi_iPS_18","Hi_iPS_19","Hi_iPS_20","Hi_iPS_21","Hi_iPS_22","Hi_iPS_23","Hi_iPS_24","Hi_Kera_1","Hi_Kera_2","Hi_Kera_3","Hi_Kera_4","Hi_Kera_5","Hi_Kera_6","Hi_Kera_7","Hi_Kera_8","Hi_Kera_9","Hi_Kera_10","Hi_Kera_11","Hi_Kera_12","Hi_Kera_13","Hi_Kera_14","Hi_Kera_15","Hi_Kera_16","Hi_Kera_17","Hi_Kera_18","Hi_Kera_19","Hi_Kera_20","Hi_Kera_21","Hi_Kera_22","Hi_Kera_23","Hi_Kera_24","Hi_Kera_25","Hi_Kera_26","Hi_Kera_27","Hi_Kera_28","Hi_Kera_29","Hi_Kera_30","Hi_Kera_31","Hi_Kera_32","Hi_Kera_33","Hi_Kera_34","Hi_Kera_35","Hi_Kera_36","Hi_Kera_37","Hi_Kera_38","Hi_Kera_39","Hi_Kera_40","Hi_GW21.2_1","Hi_GW21.2_2","Hi_GW21.2_3","Hi_GW21.2_4","Hi_GW21.2_5","Hi_GW21.2_6","Hi_GW21.2_7","Hi_GW21.2_8","Hi_GW21.2_9","Hi_GW21.2_10","Hi_GW21.2_11","Hi_GW21.2_12","Hi_GW21.2_13","Hi_GW21.2_14","Hi_GW21.2_15","Hi_GW21.2_16","Hi_GW21_1","Hi_GW21_2","Hi_GW21_3","Hi_GW21_4","Hi_GW21_5","Hi_GW21_6","Hi_GW21_7","Hi_GW21_8","Hi_NPC_1","Hi_NPC_2","Hi_NPC_3","Hi_NPC_4","Hi_NPC_5","Hi_NPC_6","Hi_NPC_7","Hi_NPC_8","Hi_NPC_9","Hi_NPC_10","Hi_NPC_11","Hi_NPC_12","Hi_NPC_13","Hi_NPC_14","Hi_NPC_15","Hi_GW16_1","Hi_GW16_2","Hi_GW16_3","Hi_GW16_4","Hi_GW16_5","Hi_GW16_6","Hi_GW16_7","Hi_GW16_8","Hi_GW16_9","Hi_GW16_10","Hi_GW16_11","Hi_GW16_12","Hi_GW16_13","Hi_GW16_14","Hi_GW16_15","Hi_GW16_16","Hi_GW16_17","Hi_GW16_18","Hi_GW16_19","Hi_GW16_20","Hi_GW16_21","Hi_GW16_22","Hi_GW16_23","Hi_GW16_24","Hi_GW16_25","Hi_GW16_26"
"MGAT4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0.53,0,0,0,5.02,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.61,0,0,0,0,0,0,0,0,0,205.38,507.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.59,0,0,0,0
"RFTN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,2.55,0,0,1.27,4.65,0,1.16,0,0,0,0,0,17.79,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,21.2,0.92,6.42,18.86,0,0,0.25,0.98,4.12,0,1.66,0.81,19.34,0,2.64,1.91,0,0,0,18.1,0,21.26,9.59,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,676.21,15.7,0,0,0.72,0,0,0,0.27,1224.75,0,1.63,0,0.95,0.71,0,0,0,0,0.13,0,0,234.04,0,1.46,0,0,0,0,0,0,0,0,103.93,27.63,0,0,0,0,0,27.84,0,0,88.67,0,0,0,0.41,0,0,542.26,0,0,63.25,24.72,0.35,0,0,5.59,2416.18,0.7,0,874.13,0
"ANKRA2",1.98,4.52,0.24,24.23,91.5,15.18,45.54,103.85,0,3.83,0,1.68,86.91,0,0,52.03,10.18,2.94,0,1.17,0,0,17.68,0,0,3.73,492.06,0,0,0,0,0,0,0,146.43,55.52,0,18.23,0.32,21.68,4.34,0.69,4.07,1.26,8.27,12.68,0.68,6.43,7.85,0.39,0,7.18,0,0,0,0,4.77,0,21.15,0,0,0,0,285.04,0,0,38.55,19.43,0.91,0,0,0,2.37,0,0,12.19,0,7.29,65.26,35.97,77.29,1.24,4.96,0,2.75,0,0,35.58,0,7.29,0,0.49,1.56,0,0.4,12.31,6.75,0.39,2.9,0,5.6,0,0.36,0,0.36,6.86,0,0,0,13.25,4.73,37.47,2.65,45.04,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.09,0,0,0,0,0,0,0,0.94,47.06,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.26,0,0,0,0,0.33,0,0,0,0.18,2.3,0,2.89,1.2,0,0,4.61,0,0,0,14.26,15.25,0.24,6.17,0,0,0.41,0,10.36,0,0,0,0,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,37.47,0,0,0,0,0,0,0,0,342.68,3.35,15.84,4.27,0,0,0,0,1.55,1.01,0,0,0,0,1.02,0,0,0.48,0,0,0,0,0,272.89,0,0.45,0,0,0.81,0.95,2.06,0.29,0,0,0,0.26,0,0.24,0,0,0,0,0,0,0,0.51,0,1234.02,0,0,0,0.41,0,0,0,0,0.69,1827.22,2302.96,0,0,0,1.08,0
"ISG15",1119.33,540.66,990.25,712.27,1069.62,166.57,1151.66,2458.98,0,2550.34,243.66,302.03,1419.31,0,844.55,350.41,1019.81,107.55,4690.19,448.99,403.42,1089.22,1935.4,34.37,1072.63,698.66,134.53,104.53,1361.92,275.55,3114.78,52.67,2809.12,892.03,238.7,308.92,421.02,97.57,227.25,11.43,0,27.86,0,18.99,0,1.4,9.58,28.72,17.96,34.61,35.59,8.55,0,5.58,0,58.04,72.17,77.83,31.97,0,0,41.48,9.73,0,0,0,55.33,103.1,140.5,291.04,32.42,0,221.74,211.22,5.92,0,0,152.37,9.16,109.27,66.86,26.42,12.7,0,0,204.93,50.57,0,28.79,2.37,19.16,10.32,49.68,32.94,0,0,16.41,104.38,2.94,0,55.45,0,0,39.43,12.83,19.7,0,51.29,46.04,20.92,0,3.76,0,2.44,0,0,4.98,64.95,0,0,0,0,27.98,0,56.06,26.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.87,0,0,0,17.63,0,0,0,119.39,52.95,3.76,7.53,3.36,0,66.33,52.93,0,98.87,6.41,76.91,12.43,41.89,0.97,5.64,72.57,95.79,81.11,26.61,0.62,20.12,26.75,137.03,252.04,540,303.33,1072.63,159.17,664.79,637.5,769.85,606.21,697.17,906.2,223.76,229.37,460.5,908.33,68.76,232.62,776.97,689.1,271.31,289.87,111.03,1421.91,224.21,750.22,1426.38,1115.34,961.52,474.94,335.93,293.04,274.06,622.79,394.33,865.55,249.14,359.14,214.57,743.96,333.2,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,2.62,0,0,1.56,0,354.19,0,0,0,0,0,1.15,1.73,0,0,0,0,355.04,0,0,0,5.62,0,1.66,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.65,0,0,0,0,0,0,0,0,0,0
"ZNF211",2.76,0,0,1.53,17.93,131.25,0,0,0,0,218.13,0.54,0,0.44,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,40.19,0,3.03,0,1.38,0,27.82,0,0,130.95,130.54,0,0,5.11,0,21.34,2.34,2.63,0,4.4,0,0,0,1.53,0,0,0,127.85,0,0,0,0,0,0,0,4.63,0,0,0.32,7.82,0,0,0,0,0,30.01,0,0,0,0,1.23,0,0,0,0,35.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,1.74,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,2.36,1038.9,1.41,0,0,1194.78,0,0,0,0,0,0,0,0,0,83.18,0,0,27.24,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,1.27,45.84,0,53.57,0,0,0.17,0,4.72,0,75.19,4.35,0,0,0,0.22,0.31,0,0,0,0.24,0.75,0,0.71,12.05,0,0,69.77,0,0,0,0,0,0,0,31.57,0,0.91,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,57.43,0,0,0,0,2.04,0,0,0,0,1.18,0,4,0,1039.38,0,0,0,0,0,2.8,0,0,31.36,1.96,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0.3,0,0,0,0,0,30.55,0,0,0,0,0,0,0,0,0,0,0,4.58,0,41.9,0,0,0.43,34.37,0,0,0,0.36,1.03,0.72,0,0,0,0
"CRMP1",0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.16,0,0.45,0,0,0,0,0,0,0.18,0,0.49,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0.26,0,0,0,0,0,15.66,64.4,0.47,86.18,36.19,63.34,22.65,0,31.05,37.41,36.15,45.38,108.49,0,1.99,12.99,19.73,17.53,74.67,47.89,84.81,8.58,52.96,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0.37,1.75,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,102.23,178.95,1724,301.29,864.98,314.1,280.99,209.09,185.9,157.68,129.04,563.14,453.19,929.64,314.24,1116.92,59.21,508.07,0.34,233,194.24,591.65,503.09,348.67,0,289.04,122.78,29.17,0,74.92,2.93,0.37,0.41,0,15.67,6.91,2.56,0,0,16.58,6.37,49.55,71.07,373.17,207.12,942.54,370.54,2152.14,181.07,8.15,1.72,0,0,72.26,31.52,0,9.38,1137.63,87.32,236.57,3.4,4325.44,0,161.11,0
"ZNF675",0.92,1.54,7.98,10.02,110.64,26.42,4.01,3.63,0,1.12,31.47,254.63,0.26,0,0.79,0,56.39,0,2.98,44.59,1.65,0,0,2.41,105.66,0.71,0.86,1.45,3.04,1.64,0,5.39,12.19,0.27,3.33,37.14,91.97,6.3,0,0,22.36,0,5.74,22.62,0.34,0,1.69,6.06,0,9.36,0,4.76,0,0,9.85,1.43,0,34.42,0,0,0,0,2.56,1.71,1.87,0,0,0,1.32,16.19,4.25,0,0,6.83,0,0,0,0,84.19,0,0,0,2.45,0,0,1.55,0,2.62,0,1.67,4.54,5.33,3.11,26.62,0.85,10.21,10.08,0.41,3.31,0,0,2.54,5.69,17.66,0,3.4,26.48,0,3.85,51.21,1.18,8.12,0,17.84,0.37,0.32,10.87,7.11,0,0,0,1255.04,12.35,5.38,0,0,4.08,0,0,0,1.06,0,1.64,0,17.91,1.74,40.69,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,43.34,16.54,1.5,2.04,0,0,1.76,2.91,0,2.66,13.1,51.2,0,0,0.37,0,0,0,0,25.89,48.47,4.55,2.67,3.08,67.58,19.04,8.93,1.44,2.01,0,2.97,3.72,7.16,18.02,5.9,8.06,2.52,1.54,29.16,119.88,2.72,3.18,7.14,32.62,31.22,0.75,0,0.82,4.94,25.61,72.18,0,0,0.38,15.51,1.6,0,0,9.97,34.83,0,3.1,0,4.58,3.47,1.65,0.57,0,2.35,4.79,1.46,35.08,46.7,9.35,39.88,1.04,0,0,8.01,2.44,5.06,0.53,51.24,1.7,1.08,9.37,1.19,71.82,8.72,28.25,937.09,0.72,0,0,1.71,24.38,10.32,52.77,152.14,9.39,1.35,0.93,0,35.99,0.66,3.83,0,8.8,6.47,0,88.22,4.44,0,3.51,0,386.75,0,0.58,3.25,1.08,8.09,2.28,4.02,1.48,1.22,0,0,12.85,12.4,1.43,0.77,6.13,0,5.13,0,8.78,1851.19,24.8,0,3.96,0,4.12,2314.88,1.39,2.05,0.95,0,0,0,32.78
"GSTA4",58.13,0,0,0,0,88.17,0,0.53,80.25,0,151.73,35.73,0,10.2,16.76,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.93,0,0,0,0,0,0,0,84.75,8.02,0,6.58,4.2,31.55,52.72,0,0,0,19.02,18.66,32.87,106.88,35.05,0,45.23,24.34,57.32,17.06,0,152.26,0,32.4,5.38,111.36,58.37,68.2,0,60.11,0,0,0,12.63,27.62,25.28,158.56,0,13.62,0,0,0,0,0,0.67,0,0,0,0,0,0,2.13,0,0.52,0,0,0,0,0,0,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.5,0,0,53.59,0,0,123.19,0,0,12.63,51.97,64.37,35.99,0,0,0,0.33,151.91,0.36,333.14,60.8,40.12,82.47,60.01,202.7,0.72,272.38,0,116.55,0,14.76,0,0,5.26,0,0,0,0,0,20.47,0,135.98,0,0,0,49.86,0,0,0,0,0,0,68.6,108.81,0,0,0,173.21,25.51,0,0,0,0,101.27,156.73,0,0,2.39,0,1.43,1.42,1428.74,0,974.99,0,2067.5,202.7,914.68,0,16.01,0,433.75,203.43,0,0,475.89,0,0,696.61,0,0,23.91,1.02,0,0,3.45,0,77.1,0,41.53,247.59,29.24,0,0,0,0,0,244.16,0,0,0,1.22,0,0,0,0,0.37,134.96,0,0,0.77,1355.19,77.93,542.21,0,5.82,1956.23,0.54,0,560.48,2.77,0
"MRFAP1L1",191.24,67.3,0,98.19,21.25,132.58,77.41,33.3,102.08,74.66,11.21,389.76,1.47,0,8.64,0.33,137.54,0,80.56,27.1,279.15,58.11,0.3,0.2,210.52,18.41,0,0,63.99,602.8,0,264.09,13.91,512.95,309.26,86.47,1.9,0,301.43,29.37,100.56,136.9,114.14,69.75,134.23,85.79,1.42,111.68,128.01,53.76,99.37,83.72,3.39,8.81,334.92,6.07,72.42,97.68,73.15,0,95.33,73.61,138.09,111.71,59.27,0,16.4,47.51,298.73,177.15,0,151.5,57,0,13.42,50.93,0,22.37,16.6,150.8,0,69.38,65.4,63.53,110.26,65.02,0,108.15,94.41,165.54,80.57,113.95,95.38,85.78,200.16,82.84,221.03,87.13,117.82,50.57,283.93,12.47,103.88,119.18,206.72,232.41,324.91,269.37,95.4,338.17,37.97,144.74,217.01,189.12,93.15,218.7,76.73,62.26,1490.59,153.07,0,856.25,418.81,76.06,77.62,392.44,0,0,0,0,0,7.67,4.66,0,362.23,0,2.13,0,0,0,0,501,0,97.22,0,23.96,175.41,4.11,0,0,409.35,0,102.4,24.68,229.04,0,111.36,908.8,289.64,0.89,105.54,157.41,0,141.62,4.66,121.88,505.15,17.17,6.58,3.31,0,87.59,187.61,66.82,0.47,128.11,13.97,134.9,24.02,88.19,152.63,60.49,6.1,174.35,0.79,95.54,306.98,341.29,59.77,221.33,319.87,265.85,159.77,64.3,126.44,109.71,0,2.32,0,12.87,312.41,48.95,17.44,23.46,0,0,25.04,94.13,110.2,26.66,0,0,41.42,0,0,0,0,0,162.81,208.81,1.49,0,35.74,108.02,52.22,39.31,135.51,26.08,46.54,0,45.82,70.93,249.85,7.22,23.25,124.71,1825.78,331.93,411.13,712.28,0,644.33,751.88,852.21,1238.76,769.4,0,435.97,783.23,403.9,121.87,828.93,554.91,2920.28,0,0.18,0.54,10.42,0,746.13,0,23.72,2.88,735.92,0,28.76,624.91,0.36,875.52,0,21.21,174.01,1.81,232.24,0,1657.73,1.8,0,0,0,61.91,2.18,4524.18,6324.22,1028.96,0,0,0,62.61,0.64,0,1.24,1.43,0.97,0.54,0,659.26,0,0,0,0
"SERPINE1",101.02,0,3.73,0,0,0,37.15,77.81,0,0,0,16.96,0,0,0,0,29.86,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,932.64,1991.46,860.77,572.51,1866.12,1361.68,442.76,1193.07,744.44,652.1,1094.63,1563.49,1601.44,861.61,664.48,261.28,1707.78,804.34,1044.94,904,1392.86,654.9,966,2372.57,690.48,346.43,2062.67,141.91,989.17,2186.74,859.93,1882.81,1898.6,369.78,1281.01,819.59,326.39,0,0,0,0,0.34,0.21,0.38,0.28,0.26,0,0,0,0,0,0,0,0.22,0,0,0.21,0.64,0,0.39,0,0,0.23,0,0.25,0,0.24,0.23,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03,0,0,0,0,9.32,43.35,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,32.43,15.29,162.23,126.14,220.61,8.32,142.71,157.54,176.16,34.11,75.16,26.34,93.53,132.78,12.8,6.73,101.67,67.08,0.22,48.23,0.51,255.95,802.96,180.19,257.1,109.71,172.15,105.33,49.87,158.23,59.26,50.45,22.08,8.3,118.22,184.4,154.64,30.35,29.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,715.59,43.47,2.53,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGFBI",174.33,11.45,64.95,28.14,488.54,0,0,24.82,61.95,0,8.03,192.34,0.2,143.75,0,8.98,2.25,68.72,372.17,0,102.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.54,1462.72,467.48,183.93,134.32,463.61,96.06,163.63,313.65,868.89,350.15,2710.79,312.72,237.06,173.93,197.77,573.41,652.5,633.92,404.1,1221.67,201.58,742.24,377.85,401.26,57.07,587.5,191.38,338.04,1896.01,1341.62,589.21,1226.31,112.75,650.18,3518.97,273.26,0,0.44,0,0,0,0,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0.39,16.61,0,40,0,270.09,235.8,429.97,12.71,154.66,94.68,197.29,303.55,59.49,14.38,79.18,132.07,2.92,232.91,298.43,126.82,381.16,219.54,258.48,0,897.32,114.31,72.08,472.93,114.31,320.93,1098.29,438.76,859.94,62.39,565.6,89.88,104.83,196.19,95.6,19.45,21.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIRT3",0,35.62,77.31,0.82,0.14,39.14,16.52,5.89,23.4,10.66,0.16,0,0.61,1.09,0.63,69.6,0.76,0.13,4.41,0,0,0.36,0,0,0,104.24,0,0,0,0.43,0.16,11.06,0.11,0,0,84.24,0.21,0,0,2.74,4.83,10.77,5.33,121.2,6.68,2.57,0.9,39.3,1.62,2.08,32.31,7.58,0,0,0,4.55,0.94,5.59,1.67,25.64,0,0,0,0,0,8.67,0,0,1.44,0.66,14.51,1.32,73.78,0,1.25,4.84,55.9,0,0.49,44.8,0,6.34,0,0,12.34,1.22,1.26,1.15,1.36,32.22,2.15,2.69,3.06,1.31,1.85,0.76,2.33,1.64,17.6,1.66,1.07,75.24,2.07,1.16,69.62,2.44,0.56,1.12,1.32,4.71,0.23,5.04,8.35,36.43,2.69,29.42,4.11,2.76,0,0,24.78,0,74.76,0,1.32,1.01,0,0,6.51,0,1.16,0.48,1.3,0,0,119.96,1.2,0,1.5,0,2.92,0,5.56,17.14,0,0,0,1.16,0,0,0,0,0,0,1.26,0.86,0,0,1.15,0.5,0,0,0,0,0,0.2,0,0,0.16,0,0,0,0.23,3.76,0,0.19,0,64.68,31.9,1.95,0.13,0,0.19,0.16,0.42,0,0,42.3,0,0,0,4.15,0,0,3.35,0,0,0,0.65,0.36,0,25,0,1.51,0.3,4.23,1.26,0.33,0,0.46,3.72,3.58,0,0,9.72,0,0.5,0,0,27.24,50.19,29.79,0.36,0.9,0,0,0,138.09,0,0,0,0,0,0.31,0.45,0.23,0,0.49,0.66,1.91,0.34,0,0.52,0,0,1240.19,0,0,0,0.58,0,0,0,2.67,0,0.1,0.15,0,1733.98,0.16,0,52.17,768.27,0.23,0.4,22.74,0,0,0,0.21,0,4.21,0,0,0.54,0,0,0,0,0.35,0.57,0,0,0,0,0.35,1036.01,99.59,0.97,0,0,226.29,0.4,0,0,0,0,0,0,0.85,1.03
"COL1A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,570.48,306.95,318.8,797.11,227.41,815.74,554.23,1114.06,547.05,1069.25,561.7,802.96,382.69,540.56,464.92,352.21,1165.95,429.71,360.99,612.98,1110.75,549.39,274.89,911.95,364.84,511.32,2597.06,394.06,83.22,2490.31,411.01,391.7,857.76,497.66,395.31,894.23,469.48,14.43,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,11.34,34.25,0.58,0.43,0.38,48.84,0.07,0.13,7.24,0.75,0.26,0.45,0,2.69,7.91,11.68,1.52,7.66,5.82,5.29,1.77,13.76,0.19,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.13,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.83,0,0,0,0,0,0.37,0.17,0,1.9,0,0,0,26.64,0,2.35,0.18,0.79,0,0,115.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
